"AGED - 2014 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) FOR PART A AND PART B BY STATE AND COUNTY OF RESIDENCE. (BENEFICIARIES ENROLLED IN PARTS A AND/OR B EXCEPT FOR PUERTO RICO WHERE ENROLLED IN BOTH PARTS A AND B. REIMBURSEMENTS EXCLUDED FOR HOSPICE AND COST CONTRACTS. DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPPRESSED FOR PRIVACY)",,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A TOTAL REIMBURSEMENT W/O IME/DSH/GME,PART A TOTAL PER CAPITA W/O IME/DSH/GME,PART A  IME,PART A  DSH,PART A  GME,PART B  ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B TOTAL PER CAPITA,AGED AND DISABLED MEAN RISK SCORE
03000,ARIZONA,APACHE,"7,461","35,833,086",400.23,"34,515,170",385.51,"361,716","817,792","138,405","6,870","27,947,667",339.01,0.911
03010,ARIZONA,COCHISE,"16,899","61,616,020",303.84,"56,287,955",277.57,"3,042,505","1,062,108","1,223,450","15,360","62,225,568",337.60,0.881
03020,ARIZONA,COCONINO,"15,503","59,375,821",319.16,"56,670,754",304.62,"637,548","1,840,417","227,101","14,247","56,895,153",332.79,0.850
03030,ARIZONA,GILA,"11,237","45,116,252",334.58,"43,175,887",320.19,"885,957","687,786","366,620","10,552","46,668,121",368.56,0.933
03040,ARIZONA,GRAHAM,"2,940","9,495,723",269.15,"8,972,553",254.32,"237,251","194,389","91,528","2,732","11,092,656",338.36,0.844
03050,ARIZONA,GREENLEE,872,"2,489,249",237.89,"2,372,112",226.69,"49,116","48,497","19,523",813,"2,459,204",252.07,0.811
03055,ARIZONA,LAPAZ,"3,746","15,720,745",349.72,"15,108,817",336.11,"257,104","237,268","117,554","3,424","14,722,948",358.33,0.918
03060,ARIZONA,MARICOPA,"294,393","970,734,153",274.78,"928,622,459",262.86,"17,892,759","15,551,276","8,667,659","262,047","1,287,578,786",409.46,0.918
03070,ARIZONA,MOHAVE,"35,572","133,047,436",311.69,"127,632,331",299.00,"2,326,358","2,280,244","808,502","33,166","147,320,414",370.16,0.949
03080,ARIZONA,NAVAJO,"12,922","52,521,432",338.71,"50,383,462",324.92,"660,941","1,199,319","277,710","12,094","48,296,390",332.78,0.883
03090,ARIZONA,PIMA,"92,933","274,238,130",245.91,"255,145,222",228.79,"9,657,523","5,431,775","4,003,610","81,966","352,374,071",358.25,0.897
03100,ARIZONA,PINAL,"28,494","92,881,644",271.64,"89,308,308",261.19,"1,440,247","1,600,210","532,877","25,744","118,292,383",382.91,0.907
03110,ARIZONA,SANTA CRUZ,"3,877","8,735,672",187.77,"8,080,909",173.69,"326,933","195,122","132,706","3,365","10,856,651",268.86,0.800
03120,ARIZONA,YAVAPAI,"41,126","123,766,081",250.79,"119,080,096",241.29,"1,836,075","2,100,238","749,670","37,652","165,047,302",365.29,0.864
03130,ARIZONA,YUMA,"20,845","86,095,949",344.19,"83,140,239",332.37,"912,833","1,722,287","320,588","19,396","85,958,078",369.31,0.959
04000,ARKANSAS,ARKANSAS,"2,896","10,606,162",305.20,"10,288,019",296.04,"95,433","185,164","37,544","2,695","10,962,029",338.96,0.885
04010,ARKANSAS,ASHLEY,"3,334","15,079,769",376.92,"14,688,525",367.14,"128,940","211,569","50,733","3,197","14,751,944",384.53,0.944
04020,ARKANSAS,BAXTER,"8,896","28,412,629",266.16,"27,782,445",260.25,"264,997","281,008","84,177","8,498","33,711,810",330.59,0.958
04030,ARKANSAS,BENTON,"19,850","68,636,658",288.15,"66,915,378",280.92,"550,282","955,059","215,939","17,846","77,038,498",359.74,0.949
04040,ARKANSAS,BOONE,"6,190","20,439,754",275.17,"19,845,206",267.17,"207,877","320,488","66,183","5,823","22,563,940",322.91,0.968
04050,ARKANSAS,BRADLEY,"1,698","7,495,472",367.86,"7,311,329",358.82,"61,050","91,428","31,663","1,635","9,035,691",460.53,1.006
04060,ARKANSAS,CALHOUN,656,"2,183,848",277.42,"2,129,680",270.54,"13,249","33,366","7,552",615,"2,726,676",369.47,0.950
04070,ARKANSAS,CARROLL,"3,776","11,654,765",257.21,"11,354,507",250.58,"133,676","120,433","46,148","3,434","13,695,366",332.35,0.863
