"AGED -- 2010 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) ",,,,,,,,,,,,,,
FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE,,,,,,,,,,,,,,
BENEFICIARIES ENROLLED IN PARTS A AND/OR B  ,,,,,,,,,,,,,,
PUERTO RICO BENEFICIARIES ENROLLED IN BOTH PARTS A AND B ONLY,,,,,,,,,,,,,,
REIMBURSEMENTS FOR HOSPICE AND COST CONTRATCS EXCLUDED,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA,AGED & DBLD MEAN RISK SCORES
01570,ALABAMA                  ,ST. CLAIR,"5,513","20,681,496",312.62,"19,048,042",287.93,"453,201","830,792","349,460","5,104","20,972,805",342.42,0.927
01580,ALABAMA                  ,SHELBY,"8,884","32,254,220",302.55,"29,862,077",280.11,"463,436","1,676,736","251,971","8,126","36,012,432",369.31,0.893
01590,ALABAMA                  ,SUMTER,"1,595","8,362,968",436.94,"7,617,360",397.98,"91,674","616,613","37,319","1,584","6,490,568",341.47,0.977
01600,ALABAMA                  ,TALLADEGA,"8,720","39,859,098",380.92,"35,757,891",341.72,"592,512","3,194,814","313,880","8,383","35,654,635",354.43,0.975
01610,ALABAMA                  ,TALLAPOOSA,"5,868","20,987,143",298.05,"18,977,108",269.50,"174,077","1,745,670","90,287","5,639","26,454,088",390.94,0.987
01620,ALABAMA                  ,TUSCALOOSA,"17,417","82,512,748",394.79,"72,792,381",348.28,"1,771,686","7,155,557","793,123","16,493","72,842,017",368.05,0.979
01630,ALABAMA                  ,WALKER,"8,618","38,059,220",368.02,"34,224,999",330.94,"905,650","2,337,235","591,335","8,290","38,940,462",391.44,1.060
01640,ALABAMA                  ,WASHINGTON,"2,246","8,563,444",317.73,"7,973,501",295.84,"124,088","420,806","45,048","2,187","9,557,513",364.18,0.880
01650,ALABAMA                  ,WILCOX,"1,546","4,810,463",259.30,"4,237,985",228.44,"71,619","463,767","37,091","1,513","5,012,827",276.10,0.898
01660,ALABAMA                  ,WINSTON,"3,530","16,291,893",384.61,"14,820,896",349.88,"234,299","1,121,815","114,881","3,377","14,768,812",364.45,1.031
02010,ALASKA                   ,ALEUTIANS ISLANDS,264,"883,919",279.01,"705,538",222.71,"3,702","173,801",877,176,"595,478",281.95,0.686
02020,ALASKA                   ,ANCHORAGE,"21,036","72,648,308",287.79,"62,554,750",247.81,"1,313,298","8,389,462","390,796","18,660","64,629,781",288.63,0.838
02040,ALASKA                   ,BARROW DIVISION,323,"2,264,538",584.25,"1,950,288",503.17,"3,785","309,048","1,415",259,"1,261,924",406.02,0.886
02050,ALASKA                   ,BETHEL,699,"3,326,994",396.64,"2,817,308",335.87,"3,659","505,094",932,587,"1,896,156",269.19,0.804
02060,ALASKA                   ,BRISTOL BAY,568,"2,180,143",319.86,"1,903,700",279.30,"17,990","252,381","6,071",513,"1,714,254",278.47,0.810
02070,ALASKA                   ,DILLINGHAM,403,"2,040,707",421.98,"1,865,082",385.67,"3,207","171,231","1,185",327,"981,547",250.14,0.834
02080,ALASKA                   ,CORDOVA-MC CARTHY,214,"1,138,028",443.16,"1,043,445",406.33,"9,772","80,919","3,891",194,"877,655",377.00,0.000
02090,ALASKA                   ,FAIRBANKS NORTH STAR,"5,609","22,043,586",327.50,"19,839,152",294.75,"209,466","1,945,522","49,443","5,118","18,217,856",296.63,0.794
02100,ALASKA                   ,HAINES,363,"1,673,859",384.27,"1,478,288",339.37,"41,996","146,000","7,573",338,"1,487,635",366.77,0.751
02110,ALASKA                   ,JUNEAU,"3,003","10,939,275",303.57,"9,979,743",276.94,"232,149","676,810","50,572","2,707","9,927,189",305.60,0.807
02120,ALASKA                   ,KENAI-COOK INLET DIVISION,"5,563","24,458,010",366.38,"22,360,333",334.96,"226,867","1,813,677","57,132","5,172","20,608,300",332.05,0.804
02130,ALASKA                   ,KETCHIKAN GATEWAY,"1,431","6,475,606",377.10,"5,948,367",346.40,"187,118","294,874","45,247","1,324","6,097,146",383.76,0.898
02140,ALASKA                   ,KOBUK,398,"3,930,853",823.04,"3,572,705",748.05,"6,972","349,708","1,467",298,"2,405,126",672.57,0.877
02150,ALASKA                   ,KODIAK ISLAND,545,"2,609,315",398.98,"2,412,079",368.82,"26,753","163,244","7,237",470,"1,709,101",303.03,0.772
02160,ALASKA                   ,KUSKOKWIN DIVISION,187,"684,839",305.19,"571,443",254.65,"11,745","99,721","1,930",145,"471,785",271.14,0.000
02170,ALASKA                   ,MATANUSKA-SUSITNA,"6,198","23,805,301",320.07,"21,587,271",290.25,"173,036","1,999,649","45,345","5,689","21,010,450",307.76,0.863
02180,ALASKA                   ,NOME,573,"2,577,121",374.80,"2,204,053",320.54,"4,227","367,390","1,450",468,"1,940,689",345.56,0.809
02190,ALASKA                   ,OUTER KETCHIKAN DIVISION,186,"772,753",346.22,"671,160",300.70,"8,906","90,138","2,547",157,"582,952",309.42,0.841
02200,ALASKA                   ,PRINCE OF WALES DIVISION,313,"1,409,219",375.19,"1,236,190",329.12,"38,561","123,827","10,639",283,"1,603,703",472.23,0.000
02210,ALASKA                   ,SEWARD,515,"2,087,327",337.76,"1,929,074",312.15,"21,525","130,495","6,232",472,"1,669,871",294.82,0.000
02220,ALASKA                   ,SITKA,933,"6,276,416",560.59,"5,924,182",529.13,"104,332","224,946","22,955",824,"5,058,089",511.54,0.950
