"AGED -- 2012 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE, BENEFICIARIES ENROLLED IN PARTS A AND/OR B, PUERTO RICO BENEFICIARIES ENROLLED IN BOTH PARTS A AND B ONLY, REIMBURSEMENTS FOR HOSPICE AND COST CONTRACTS EXCLUDED",,,,,,,,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA,AGED & DBLD MEAN RISK SCORES,,,,,,
02260,ALASKA                   ,VALDEZ-CHITNA-WHITIER D,879,"2,821,643",267.51,"2,531,846",240.03,"26,880","256,104","6,811",762,"2,830,206",309.52,0.764,,,,,,
02270,ALASKA                   ,WADE HAMPTON           ,398,"1,571,474",329.04,"1,283,512",268.74,"11,262","275,230","1,469",343,"1,385,185",336.54,0.868,,,,,,
02280,ALASKA                   ,WRANGELL-PETERSBURG CEN,815,"4,287,642",438.41,"4,025,489",411.60,"77,384","160,309","24,458",765,"4,253,180",463.31,0.865,,,,,,
02290,ALASKA                   ,YUKON-KOYUKUK          ,516,"1,729,480",279.31,"1,522,446",245.87,"11,142","193,553","2,337",454,"1,943,022",356.65,0.828,,,,,,
03000,ARIZONA                  ,APACHE                 ,"6,695","28,938,212",360.20,"25,720,775",320.15,"341,000","2,715,365","161,071","6,233","25,175,549",336.59,0.901,,,,,,
03010,ARIZONA                  ,COCHISE                ,"16,155","59,149,748",305.12,"50,005,164",257.94,"2,729,377","5,427,539","987,666","14,756","58,659,282",331.27,0.907,,,,,,
03020,ARIZONA                  ,COCONINO               ,"13,888","51,273,828",307.66,"45,352,253",272.13,"339,416","5,391,393","190,764","12,885","49,884,227",322.62,0.839,,,,,,
03030,ARIZONA                  ,GILA                   ,"10,465","44,169,437",351.72,"39,552,946",314.96,"630,452","3,670,990","315,046","9,886","44,698,861",376.79,0.951,,,,,,
03040,ARIZONA                  ,GRAHAM                 ,"2,900","10,644,325",305.87,"9,272,569",266.45,"324,003","961,510","86,242","2,727","9,576,118",292.63,0.860,,,,,,
03050,ARIZONA                  ,GREENLEE               ,734,"2,809,588",318.98,"2,462,791",279.61,"76,706","244,943","25,146",691,"2,718,328",327.83,0.781,,,,,,
03055,ARIZONA                  ,LA PAZ                 ,"3,585","15,467,926",359.55,"13,927,532",323.75,"251,613","1,196,716","92,064","3,272","14,929,297",380.23,0.923,,,,,,
03060,ARIZONA                  ,MARICOPA               ,"266,469","927,356,032",290.01,"832,284,849",260.28,"14,976,399","72,133,918","7,960,866","237,611","1,137,713,452",399.01,0.913,,,,,,
03070,ARIZONA                  ,MOHAVE                 ,"34,186","128,752,365",313.85,"115,351,046",281.18,"2,099,176","10,532,396","769,745","32,073","135,511,279",352.09,0.966,,,,,,
03080,ARIZONA                  ,NAVAJO                 ,"11,767","45,493,845",322.19,"40,292,870",285.35,"616,687","4,332,899","251,387","11,057","43,382,821",326.96,0.879,,,,,,
03090,ARIZONA                  ,PIMA                   ,"86,460","276,999,699",266.98,"238,910,530",230.27,"8,709,022","25,993,496","3,386,650","76,774","333,422,055",361.91,0.890,,,,,,
03100,ARIZONA                  ,PINAL                  ,"24,587","89,169,263",302.22,"79,615,645",269.84,"1,166,839","7,881,348","505,429","22,156","103,344,023",388.70,0.892,,,,,,
