"AGED -- 2011 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) , FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE, BENEFICIARIES ENROLLED IN PARTS A AND/OR B , PUERTO RICO BENEFICIARIES ENROLLED IN BOTH PARTS A AND B ONLY, REIMBURSEMENTS FOR HOSPICE AND COST CONTRATCS EXCLUDED",,,,,,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA,AGED & DBLD MEAN RISK SCORES,,,,
04080,ARKANSAS,CHICOT,"1,968","8,972,195",379.92,"8,189,195",346.76,"71,550","672,203","39,245","1,869","7,753,177",345.69,0.951,,,,
04090,ARKANSAS,CLARK,"2,989","11,828,550",329.78,"11,214,896",312.67,"55,647","534,735","23,272","2,805","9,906,218",294.30,0.941,,,,
04100,ARKANSAS,CLAY,"2,859","12,566,402",366.28,"11,396,013",332.17,"126,883","999,914","43,591","2,725","11,019,631",336.99,0.935,,,,
04110,ARKANSAS,CLEBURNE,"5,126","17,557,192",285.43,"16,191,441",263.22,"164,374","1,144,205","57,170","4,959","18,547,535",311.68,0.911,,,,
04120,ARKANSAS,CLEVELAND,"1,159","4,399,573",316.33,"3,988,173",286.75,"62,199","304,478","44,723","1,113","4,376,148",327.65,0.945,,,,
04130,ARKANSAS,COLUMBIA,"3,521","16,663,679",394.39,"15,430,019",365.19,"103,459","1,081,384","48,815","3,380","14,512,768",357.81,0.955,,,,
04140,ARKANSAS,CONWAY,"3,132","11,446,226",304.55,"10,691,171",284.46,"73,339","647,859","33,856","2,978","11,410,200",319.29,0.931,,,,
04150,ARKANSAS,CRAIGHEAD,"10,710","45,248,230",352.07,"41,261,151",321.05,"448,024","3,342,978","196,076","10,132","38,154,617",313.81,0.921,,,,
04160,ARKANSAS,CRAWFORD,"5,456","21,462,098",327.81,"19,717,101",301.15,"159,129","1,523,130","62,736","5,052","18,253,266",301.09,0.940,,,,
04170,ARKANSAS,CRITTENDEN,"4,788","23,056,572",401.29,"19,086,057",332.19,"698,553","2,904,016","367,945","4,457","18,671,709",349.11,1.035,,,,
04180,ARKANSAS,CROSS,"2,365","10,358,564",365.00,"9,531,773",335.86,"127,016","640,953","58,820","2,252","8,678,024",321.12,0.931,,,,
04190,ARKANSAS,DALLAS,"1,129","4,620,639",341.06,"4,332,684",319.80,"24,679","250,985","12,290","1,088","4,644,169",355.71,0.946,,,,
04200,ARKANSAS,DESHA,"1,831","7,867,418",358.07,"7,352,255",334.62,"72,965","399,230","42,966","1,737","7,706,615",369.73,0.969,,,,
04210,ARKANSAS,DREW,"2,257","10,257,296",378.72,"9,408,057",347.37,"97,556","702,473","49,209","2,154","10,326,767",399.52,0.975,,,,
04220,ARKANSAS,FAULKNER,"10,882","35,255,260",269.98,"32,690,709",250.34,"323,250","2,073,399","167,901","10,172","39,815,268",326.18,0.895,,,,
04230,ARKANSAS,FRANKLIN,"2,220","8,325,832",312.53,"7,838,124",294.22,"39,839","434,158","13,710","2,101","7,372,157",292.41,0.898,,,,
04240,ARKANSAS,FULTON,"2,063","8,201,928",331.31,"7,791,957",314.75,"18,553","382,651","8,766","1,968","7,841,742",332.05,0.927,,,,
04250,ARKANSAS,GARLAND,"20,700","72,749,797",292.87,"67,762,027",272.79,"354,631","4,483,213","149,925","19,750","78,439,380",330.97,0.947,,,,
04260,ARKANSAS,GRANT,"2,157","8,856,457",342.16,"8,110,339",313.33,"81,400","610,565","54,152","2,033","8,791,797",360.38,0.943,,,,
04270,ARKANSAS,GREENE,"4,879","23,355,908",398.92,"20,986,867",358.46,"190,003","2,108,157","70,879","4,659","16,941,547",303.03,0.963,,,,
04280,ARKANSAS,HEMPSTEAD,"2,437","11,689,730",399.73,"10,890,649",372.41,"54,361","715,599","29,119","2,306","8,676,141",313.54,0.985,,,,
04290,ARKANSAS,HOT SPRING,"4,264","17,508,902",342.18,"16,318,729",318.92,"85,192","1,059,596","45,384","4,089","16,346,705",333.14,0.974,,,,
04300,ARKANSAS,HOWARD,"2,023","7,852,599",323.47,"7,283,389",300.02,"66,173","468,767","34,268","1,902","7,615,747",333.67,0.945,,,,
04310,ARKANSAS,INDEPENDENCE,"5,373","27,255,923",422.73,"24,169,163",374.86,"96,627","2,935,371","54,760","5,120","22,027,265",358.52,1.009,,,,
04320,ARKANSAS,IZARD,"2,399","9,159,858",318.18,"8,477,673",294.49,"52,699","608,640","20,845","2,288","8,959,960",326.34,0.928,,,,
04330,ARKANSAS,JACKSON,"2,704","14,311,376",441.06,"12,936,844",398.69,"143,391","1,154,837","76,303","2,596","10,963,733",351.94,1.039,,,,
04340,ARKANSAS,JEFFERSON,"8,806","35,554,207",336.46,"31,152,839",294.81,"708,047","3,182,592","510,728","8,138","31,421,775",321.76,0.971,,,,
04350,ARKANSAS,JOHNSON,"2,753","9,868,961",298.73,"8,946,428",270.81,"67,648","828,555","26,328","2,543","8,072,878",264.55,0.875,,,,
04360,ARKANSAS,LAFAYETTE,"1,087","5,231,299",401.05,"4,790,546",367.26,"40,415","378,580","21,756","1,039","4,393,181",352.36,0.969,,,,
04370,ARKANSAS,LAWRENCE,"3,053","12,204,330",333.12,"11,185,560",305.32,"106,196","864,756","47,816","2,936","11,308,700",320.98,0.901,,,,
04380,ARKANSAS,LEE,"1,063","4,229,887",331.60,"3,642,810",285.58,"99,193","450,623","37,259","1,006","3,793,009",314.20,1.003,,,,
04390,ARKANSAS,LINCOLN,"1,304","4,670,306",298.46,"4,151,602",265.31,"67,767","394,344","56,591","1,225","5,167,645",351.54,0.992,,,,
04400,ARKANSAS,LITTLE RIVER,"2,001","9,096,563",378.83,"8,447,628",351.81,"54,812","567,369","26,753","1,884","8,098,250",358.20,1.013,,,,
04410,ARKANSAS,LOGAN,"3,036","12,432,254",341.25,"11,745,144",322.39,"81,961","571,236","33,911","2,894","10,155,893",292.44,0.870,,,,
04420,ARKANSAS,LONOKE,"6,778","26,816,489",329.70,"24,956,306",306.83,"227,724","1,518,693","113,765","6,344","24,768,238",325.35,0.954,,,,
04430,ARKANSAS,MADISON,"2,344","7,828,240",278.31,"7,271,711",258.52,"95,392","423,297","37,839","2,092","7,221,646",287.67,0.867,,,,
04440,ARKANSAS,MARION,"2,687","9,305,340",288.59,"8,767,491",271.91,"37,671","486,586","13,589","2,551","8,408,443",274.68,0.903,,,,
